randid,WONumber,WOStatus,WOType,Date_EventStart,Date_EventEnd,GeneralDesc,CompletionDesc,ProductionImpact_kWh,WarrantyClaim,Priority,Date_EventStart_Consistent,Date_EventEnd_Consistent,Dataset,Asset,CompletionActivity,FailureCategories,ImpactLevel,WarrantyType,InsuranceClaim,LaborEffort_Hrs,Cause,OpEventID,states,Commissioning_Date,FullDesc,FullDescCleaned,FullDescTokenized,FullDescEmbeds
C2S128,16_002591,Closed,Corrective,2016-06-27 13:27:00,2016-06-27 13:50:00,Inverter offline due to temperature fault,Power Cycle. Hardware Replaced: ,374.0,No,,2016-06-27 13:27:00,2016-06-27 13:50:00,C2,Inverter,Power Cycle,Hardware Malfunction,Full,,,,,,CA,2014-07-10,Inverter offline due to temperature faultPower Cycle. Hardware Replaced: ,inverter offline due temperature faultpower cycle hardware replaced,"['inverter', 'offline', 'due', 'temperature', 'faultpower', 'cycle', 'hardware', 'replaced']","[(10, 1), (13, 1), (111, 1), (119, 1), (176, 1), (234, 1), (341, 1), (531, 1)]"
C3S162,WO-1074752,Completed,Corrective,,,Bladen - Inverter 21 - Forced Outage. Inverter 21 went offline around 0850 ET C4 to investigate and remote reset site visit not required. 019 - Unplanned outage/derate,C4 successful restarted inverter 21 at Bladen per the SMA SOP Inverter verified online and producing via SCADA and web GUI Peer check: Raymond Diaz,,,Critical,2020-02-25 09:00:00,2020-02-25 17:00:00,C3c,Inverter,13 - Remote Reset,Failure Class 3 - single inverter off-line,Underperformance,,,0.0,019 - Unplanned outage/derate,,NC,2017-12-18,Bladen - Inverter 21 - Forced Outage. Inverter 21 went offline around 0850 ET C4 to investigate and remote reset site visit not required. 019 - Unplanned outage/derateC4 successful restarted inverter 21 at Bladen per the SMA SOP Inverter verified online and producing via SCADA and web GUI Peer check: Raymond Diaz,bladen inverter forced outage inverter went offline around et c investigate remote reset site visit required unplanned outage deratec successful restarted inverter bladen per sma sop inverter verified online producing via scada web gui peer check raymond diaz,"['bladen', 'inverter', 'forced', 'outage', 'inverter', 'went', 'offline', 'around', 'et', 'c', 'investigate', 'remote', 'reset', 'site', 'visit', 'required', 'unplanned', 'outage', 'deratec', 'successful', 'restarted', 'inverter', 'bladen', 'per', 'sma', 'sop', 'inverter', 'verified', 'online', 'producing', 'via', 'scada', 'web', 'gui', 'peer', 'check', 'raymond', 'diaz']","[(3, 1), (8, 1), (10, 4), (13, 1), (15, 2), (16, 1), (29, 1), (56, 1), (109, 1), (124, 1), (139, 1), (144, 1), (155, 1), (242, 1), (294, 1), (307, 1), (339, 1), (342, 1), (389, 1), (399, 1), (426, 1), (476, 1), (515, 1), (517, 1), (519, 1), (520, 1), (547, 1), (602, 2), (603, 1), (604, 1), (605, 1), (606, 1), (607, 1)]"
C3S399,WO-1058873,Completed,Corrective,7/17/2019 9:45 AM,7/17/2019 11:35 AM,"Saint Albans - Inverter 1.3.10 - Forced Outage. 09:45 EST 7/17/19 Saint Albans String Inverter 1-3-10 went offline. There is also a Comms alarm that came in at 09:50 EST C4 cannot log into the Inverter, SunGrow Datalogger RDP has no Sungrow program for C4 to access. Local support is needed.. 018 - Planned outage/derate",7/17/2019 Tim Chaput - WO was erroneously created as we were onsite replacing this inverter today.,,,Normal,2019-07-17 09:45:00,2019-07-17 11:35:00,C3c,Inverter,07 - Service,"Failure Class 10 - equipment not off-line, no loss of production",Underperformance,,,0.0,018 - Planned outage/derate,OE-2942682,VT,2018-09-21,"Saint Albans - Inverter 1.3.10 - Forced Outage. 09:45 EST 7/17/19 Saint Albans String Inverter 1-3-10 went offline. There is also a Comms alarm that came in at 09:50 EST C4 cannot log into the Inverter, SunGrow Datalogger RDP has no Sungrow program for C4 to access. Local support is needed.. 018 - Planned outage/derate7/17/2019 Tim Chaput - WO was erroneously created as we were onsite replacing this inverter today.",saint albans inverter forced outage est saint albans string inverter went offline also comms alarm came est c log inverter sungrow datalogger rdp sungrow program c access local support needed planned outage derate tim chaput wo erroneously created onsite replacing inverter today,"['saint', 'albans', 'inverter', 'forced', 'outage', 'est', 'saint', 'albans', 'string', 'inverter', 'went', 'offline', 'also', 'comms', 'alarm', 'came', 'est', 'c', 'log', 'inverter', 'sungrow', 'datalogger', 'rdp', 'sungrow', 'program', 'c', 'access', 'local', 'support', 'needed', 'planned', 'outage', 'derate', 'tim', 'chaput', 'wo', 'erroneously', 'created', 'onsite', 'replacing', 'inverter', 'today']","[(2, 2), (3, 2), (8, 1), (10, 4), (13, 1), (15, 2), (19, 2), (24, 1), (31, 1), (66, 1), (72, 1), (120, 1), (132, 1), (148, 1), (201, 1), (254, 1), (339, 1), (385, 1), (444, 2), (511, 1), (568, 1), (608, 1), (609, 1), (610, 1), (611, 1), (612, 1), (613, 1), (614, 1), (615, 1), (616, 1), (617, 2), (618, 1), (619, 1)]"
C3S263,WO-1055469,Completed,Corrective,9/27/2019 1:20 PM,9/28/2019 6:55 AM,IS-60 - Inverter 4 - Communication Outage. Inverter 4 lost comms at 1;25PM EST on 9/27. Production verified via meter data. C4 does not have access to Solectria inverters at this time.. 020 - Data/Communication System Outage,Inverter began producing and communicating normally in PF on 10/1/19,,,Normal,2019-09-27 13:20:00,2019-09-28 06:55:00,C3c,Inverter,14 - Self Resolved,Failure Class 3 - single inverter off-line,Underperformance,,,0.0,020 - Data/Communication System Outage,OE-1446418,NC,2017-01-30,IS-60 - Inverter 4 - Communication Outage. Inverter 4 lost comms at 1;25PM EST on 9/27. Production verified via meter data. C4 does not have access to Solectria inverters at this time.. 020 - Data/Communication System OutageInverter began producing and communicating normally in PF on 10/1/19,inverter communication outage inverter lost comms pm est production verified via meter data c access solectria inverters time data communication system outageinverter began producing communicating normally pf,"['inverter', 'communication', 'outage', 'inverter', 'lost', 'comms', 'pm', 'est', 'production', 'verified', 'via', 'meter', 'data', 'c', 'access', 'solectria', 'inverters', 'time', 'data', 'communication', 'system', 'outageinverter', 'began', 'producing', 'communicating', 'normally', 'pf']","[(3, 1), (4, 1), (10, 2), (11, 1), (15, 1), (16, 1), (17, 1), (25, 1), (27, 1), (52, 1), (66, 1), (124, 1), (132, 1), (216, 2), (217, 2), (223, 1), (231, 1), (328, 1), (384, 1), (393, 1), (444, 1), (445, 1), (519, 1), (620, 1)]"
C2S83,16_003862,Closed,Corrective,2016-09-07 11:00:00,2016-09-07 13:45:00,Inverter offline due to inverter being stuck in power limiting mode,Software/Firmware Adjustment. Hardware Replaced: ,3284.0,No,,2016-09-07 11:00:00,2016-09-07 13:45:00,C2,Inverter,Software/Firmware Adjustment,Hardware Malfunction,Mixed,,,,,,CA,2014-12-18,Inverter offline due to inverter being stuck in power limiting modeSoftware/Firmware Adjustment. Hardware Replaced: ,inverter offline due inverter stuck power limiting modesoftware firmware adjustment hardware replaced,"['inverter', 'offline', 'due', 'inverter', 'stuck', 'power', 'limiting', 'modesoftware', 'firmware', 'adjustment', 'hardware', 'replaced']","[(10, 2), (13, 1), (108, 1), (111, 1), (176, 1), (245, 1), (341, 1), (400, 1), (621, 1), (622, 1), (623, 1)]"
C2S55,16_003028,Closed,Corrective,2016-07-24 09:15:00,2016-07-25 14:45:00,Inverter offline due to inverter current fault,Power Cycle. Hardware Replaced: ,24409.0,No,,2016-07-24 09:15:00,2016-07-25 14:45:00,C2,Inverter,Power Cycle,Hardware Malfunction,Mixed,,,,,,CA,2015-12-22,Inverter offline due to inverter current faultPower Cycle. Hardware Replaced: ,inverter offline due inverter current faultpower cycle hardware replaced,"['inverter', 'offline', 'due', 'inverter', 'current', 'faultpower', 'cycle', 'hardware', 'replaced']","[(10, 2), (13, 1), (111, 1), (176, 1), (234, 1), (262, 1), (341, 1), (531, 1)]"
C2S40,18_034371,Closed,Corrective,2018-05-11 15:35:00,2018-05-14 10:00:00,Module 13.1.7 is offline with  F86-IGBT TEMP,"Hardware Replacement. Hardware Replaced: IGBT Stack,",11812.0,Yes - Equipment,,2018-05-11 15:35:00,2018-05-14 10:00:00,C2,Inverter,Hardware Replacement,Hardware Failure,Partial,ManufacturerService,,,,,CA,2016-12-02,"Module 13.1.7 is offline with  F86-IGBT TEMPHardware Replacement. Hardware Replaced: IGBT Stack,",module offline f igbt temphardware replacement hardware replaced igbt stack,"['module', 'offline', 'f', 'igbt', 'temphardware', 'replacement', 'hardware', 'replaced', 'igbt', 'stack']","[(13, 1), (111, 1), (176, 1), (182, 1), (362, 1), (571, 1), (624, 1), (625, 2), (626, 1)]"
C3S126,WO-0251478,Completed,Corrective,2019-02-25 14:45:00,2019-02-27 13:20:00,Hanover - all inverters - not communicating.. Meter producing but can not confirm solid communications.. 020 - Data/Communication System Outage,I came onsite and powered cycled the data logger and cell modem. C4 was still unable to see the site so I went to the Nor-cal box on Pad 3 and was able to ping the SEL and Pad 1. So I went back to the main box and called Mohammad and with his help we figured out that the fiber wires coming from pad 3 was plug into the wrong port. They were moved and the site started communicating. I checked out with C4 before I left.. TechDispatched: Yes,,No,Normal,2019-02-25 14:45:00:00,2019-02-27 13:20:00:00,C3b,Inverter,04 - Adjust,"Failure Class 9 - equipment off-line, no loss of production",Communications,,,3.58,020 - Data/Communication System Outage. ,OE-18473305,NC,2018-04-30,Hanover - all inverters - not communicating.. Meter producing but can not confirm solid communications.. 020 - Data/Communication System OutageI came onsite and powered cycled the data logger and cell modem. C4 was still unable to see the site so I went to the Nor-cal box on Pad 3 and was able to ping the SEL and Pad 1. So I went back to the main box and called Mohammad and with his help we figured out that the fiber wires coming from pad 3 was plug into the wrong port. They were moved and the site started communicating. I checked out with C4 before I left.. TechDispatched: Yes,hanover inverters communicating meter producing confirm solid communications data communication system outagei came onsite powered cycled data logger cell modem c still unable see site went cal box pad able ping sel pad went back main box called mohammad help figured fiber wires coming pad plug wrong port moved site started communicating checked c left techdispatched yes,"['hanover', 'inverters', 'communicating', 'meter', 'producing', 'confirm', 'solid', 'communications', 'data', 'communication', 'system', 'outagei', 'came', 'onsite', 'powered', 'cycled', 'data', 'logger', 'cell', 'modem', 'c', 'still', 'unable', 'see', 'site', 'went', 'cal', 'box', 'pad', 'able', 'ping', 'sel', 'pad', 'went', 'back', 'main', 'box', 'called', 'mohammad', 'help', 'figured', 'fiber', 'wires', 'coming', 'pad', 'plug', 'wrong', 'port', 'moved', 'site', 'started', 'communicating', 'checked', 'c', 'left', 'techdispatched', 'yes']","[(0, 1), (3, 2), (4, 2), (5, 1), (11, 1), (16, 1), (25, 1), (26, 1), (28, 1), (56, 2), (69, 1), (73, 1), (75, 1), (97, 1), (114, 1), (134, 1), (197, 1), (216, 1), (217, 2), (223, 1), (236, 1), (254, 1), (339, 2), (366, 2), (385, 1), (408, 1), (429, 1), (473, 1), (559, 1), (627, 1), (628, 1), (629, 1), (630, 1), (631, 1), (632, 1), (633, 1), (634, 1), (635, 1), (636, 1), (637, 1), (638, 3), (639, 1), (640, 1), (641, 1), (642, 1), (643, 1), (644, 1), (645, 1), (646, 1)]"
C2S150,15_000021,Closed,Corrective,2015-09-02 13:00:00,2015-09-02 15:00:00,Inverter offline due to fan failure,"Hardware Replacement. Hardware Replaced: Blower Fan (1 or 2),",1430.0,Yes,,2015-09-02 13:00:00,2015-09-02 15:00:00,C2,Inverter,Hardware Replacement,Hardware Failure,Full,,,,,,CA,2014-11-15,"Inverter offline due to fan failureHardware Replacement. Hardware Replaced: Blower Fan (1 or 2),",inverter offline due fan failurehardware replacement hardware replaced blower fan,"['inverter', 'offline', 'due', 'fan', 'failurehardware', 'replacement', 'hardware', 'replaced', 'blower', 'fan']","[(10, 1), (13, 1), (111, 1), (176, 1), (341, 1), (360, 2), (362, 1), (647, 1), (648, 1)]"
C4S10,00124-INVT-OUT-823,Closed,Corrective,2018-05-26 16:00:00,2018-05-29 09:00:00,Suspected inverter fuse blown. Alarm message: Hardware fault 13 inverter status 0x40 inverter fuse 1 (55).,Replaced 200A fuse.,6406.400000000001,,,2018-05-26 16:00:00,2018-05-29 09:00:00,C4,Inverter,,Central Inverter Outage,Underperformance,,,,,,MA,2012-02-27,Suspected inverter fuse blown. Alarm message: Hardware fault 13 inverter status 0x40 inverter fuse 1 (55).Replaced 200A fuse.,suspected inverter fuse blown alarm message hardware fault inverter status x inverter fuse replaced fuse,"['suspected', 'inverter', 'fuse', 'blown', 'alarm', 'message', 'hardware', 'fault', 'inverter', 'status', 'x', 'inverter', 'fuse', 'replaced', 'fuse']","[(10, 3), (31, 1), (111, 1), (167, 1), (176, 1), (271, 1), (272, 3), (649, 1), (650, 1), (651, 1), (652, 1)]"
C3S48,WO-1066859,Completed,Corrective,,,Vetter - Inverter 2.1.4 - Forced Outage. At 1220 EST on 9/18 inverter 2.1.4 found offline following Pad 2 comms outage (comms restored at 1220 EST). C4 unable to determine fault via Neuron data logger.. 019 - Unplanned outage/derate,Power cycled unit and all units around this one. All are working now.,,,Normal,2019-09-19 09:00:00,2019-09-23 17:00:00,C3c,Inverter,05 - Refit(Reset),Failure Class 3 - single inverter off-line,Underperformance,,,0.0,019 - Unplanned outage/derate,,MN,2018-02-28,Vetter - Inverter 2.1.4 - Forced Outage. At 1220 EST on 9/18 inverter 2.1.4 found offline following Pad 2 comms outage (comms restored at 1220 EST). C4 unable to determine fault via Neuron data logger.. 019 - Unplanned outage/deratePower cycled unit and all units around this one. All are working now.,vetter inverter forced outage est inverter found offline following pad comms outage comms restored est c unable determine fault via neuron data logger unplanned outage deratepower cycled unit units around one working,"['vetter', 'inverter', 'forced', 'outage', 'est', 'inverter', 'found', 'offline', 'following', 'pad', 'comms', 'outage', 'comms', 'restored', 'est', 'c', 'unable', 'determine', 'fault', 'via', 'neuron', 'data', 'logger', 'unplanned', 'outage', 'deratepower', 'cycled', 'unit', 'units', 'around', 'one', 'working']","[(3, 1), (7, 1), (8, 1), (10, 2), (13, 1), (14, 1), (15, 3), (28, 1), (29, 1), (84, 1), (132, 2), (134, 1), (146, 1), (212, 1), (217, 1), (236, 1), (271, 1), (317, 1), (444, 2), (519, 1), (544, 1), (547, 1), (638, 1), (653, 1), (654, 1), (655, 1), (656, 1)]"
C3S297,WO-00011780,Open,Corrective Maintenance,2018-06-10 07:40:00,,Inverter 5 stopped producing. C4 unable to connect to the VPN.. ,. ,,,,2018-06-10 07:40:00,,C3a,Central Inverter,,Production Outage,Production Outage,,,0.0,,,OR,2016-11-30,Inverter 5 stopped producing. C4 unable to connect to the VPN.. . ,inverter stopped producing c unable connect vpn,"['inverter', 'stopped', 'producing', 'c', 'unable', 'connect', 'vpn']","[(3, 1), (10, 1), (16, 1), (23, 1), (28, 1), (657, 1), (658, 1)]"
C2S11,17_020083,Closed,Corrective,2017-09-03 14:45:00,2017-09-09 16:45:00,Inverter offline due to an engine failure,"Hardware Replacement. Hardware Replaced: Engine Rebuild,",12132.0,Yes - Equipment,,2017-09-03 14:45:00,2017-09-09 16:45:00,C2,Inverter,Hardware Replacement,Hardware Failure,Full,,,,,,NC,2013-12-12,"Inverter offline due to an engine failureHardware Replacement. Hardware Replaced: Engine Rebuild,",inverter offline due engine failurehardware replacement hardware replaced engine rebuild,"['inverter', 'offline', 'due', 'engine', 'failurehardware', 'replacement', 'hardware', 'replaced', 'engine', 'rebuild']","[(10, 1), (13, 1), (111, 1), (176, 1), (341, 1), (359, 2), (362, 1), (648, 1), (659, 1)]"
C2S95,17_010541,Closed,Corrective,2017-03-03 12:05:00,2017-03-03 15:00:00,Inverter underperformance due to max power limit setpoint changes,Software/Firmware Adjustment. Hardware Replaced: ,1012.0,Yes - Equipment,,2017-03-03 12:05:00,2017-03-03 15:00:00,C2,Inverter,Software/Firmware Adjustment,Software Problem,Partial,ManufacturerService,,,,,CA,2016-12-31,Inverter underperformance due to max power limit setpoint changesSoftware/Firmware Adjustment. Hardware Replaced: ,inverter underperformance due max power limit setpoint changessoftware firmware adjustment hardware replaced,"['inverter', 'underperformance', 'due', 'max', 'power', 'limit', 'setpoint', 'changessoftware', 'firmware', 'adjustment', 'hardware', 'replaced']","[(10, 1), (108, 1), (111, 1), (176, 1), (206, 1), (211, 1), (341, 1), (400, 1), (621, 1), (660, 1), (661, 1), (662, 1)]"
C3S260,WO-0215073,Completed,Corrective,2018-08-16 13:50:00,2018-08-16 16:55:00,Railroad Farm - Inverter C1 - Forced outage. Inverter C1 is offline as of 1400 on 08/16/18. C4 is unable to log into the inverter remotely for fault code information. Loss of production verified through the meter. 019 - Unplanned outage/derate,Reset TU on inverter brought it back online. Verified production with C4.. TechDispatched: Yes,,No,High,2018-08-16 13:50:00:00,2018-08-16 16:55:00:00,C3b,Inverter,05 - Refit(Reset),Failure Class 3 - single inverter off-line,Underperformance,,,0.37,019 - Unplanned outage/derate. ,OE-9440736,NC,2012-10-04,Railroad Farm - Inverter C1 - Forced outage. Inverter C1 is offline as of 1400 on 08/16/18. C4 is unable to log into the inverter remotely for fault code information. Loss of production verified through the meter. 019 - Unplanned outage/derateReset TU on inverter brought it back online. Verified production with C4.. TechDispatched: Yes,railroad farm inverter c forced outage inverter c offline c unable log inverter remotely fault code information loss production verified meter unplanned outage deratereset tu inverter brought back online verified production c techdispatched yes,"['railroad', 'farm', 'inverter', 'c', 'forced', 'outage', 'inverter', 'c', 'offline', 'c', 'unable', 'log', 'inverter', 'remotely', 'fault', 'code', 'information', 'loss', 'production', 'verified', 'meter', 'unplanned', 'outage', 'deratereset', 'tu', 'inverter', 'brought', 'back', 'online', 'verified', 'production', 'c', 'techdispatched', 'yes']","[(3, 4), (8, 1), (10, 4), (13, 1), (15, 2), (17, 2), (26, 1), (28, 1), (29, 1), (69, 1), (124, 2), (144, 1), (197, 1), (223, 1), (227, 1), (237, 1), (271, 1), (373, 1), (450, 1), (590, 1), (612, 1), (663, 1), (664, 1), (665, 1), (666, 1)]"
C3S187,WO-00008289,Closed,Corrective Maintenance,2018-01-05 07:26:00,2018-01-05 15:47:00,Inverter D not producing.. ,"The inverter was showing a D.C. Subsystem fault, I found that the Dcs fuse was blown and replaced it, the inverter is now producing normally. ",,,,2018-01-05 07:26:00,2018-01-05 15:47:00,C3a,Central Inverter,Replace/Repair,Production Outage,Production Outage,,,4.0833,,,NC,2014-12-04,"Inverter D not producing.. The inverter was showing a D.C. Subsystem fault, I found that the Dcs fuse was blown and replaced it, the inverter is now producing normally. ",inverter producing inverter showing c subsystem fault found dcs fuse blown replaced inverter producing normally,"['inverter', 'producing', 'inverter', 'showing', 'c', 'subsystem', 'fault', 'found', 'dcs', 'fuse', 'blown', 'replaced', 'inverter', 'producing', 'normally']","[(3, 1), (10, 3), (16, 2), (84, 1), (111, 1), (167, 1), (271, 1), (272, 1), (384, 1), (490, 1), (667, 1), (668, 1)]"
C3S68,WO-0256355,Completed,Corrective,2019-03-14 14:00:00,2019-03-15 12:00:00,Stainback - Inverter 1 - Forced outage. Stainback - Inverter 1 - Forced outage - inverter 2.1 in also energy - went offline @ 1350 PM on 3/14/19. 001 - Ground fault,Upon arrival GF voltage was not present. The GFDI was reset and the inverter resumed normal operation. We took the drone up to look for down strings but only the one disconnected string was seen. This one is disconnected due to the broken modules. Both damaged modules that were located earlier in the week were removed from the racking in the event that this was creating the GF.. TechDispatched: Yes,,No,High,2019-03-14 14:00:00:00,2019-03-15 12:00:00:00,C3b,Inverter,11 - Combination,Failure Class 3 - single inverter off-line,Underperformance,,,7.02,001 - Ground fault. ,OE-19581531,NC,2016-10-03,Stainback - Inverter 1 - Forced outage. Stainback - Inverter 1 - Forced outage - inverter 2.1 in also energy - went offline @ 1350 PM on 3/14/19. 001 - Ground faultUpon arrival GF voltage was not present. The GFDI was reset and the inverter resumed normal operation. We took the drone up to look for down strings but only the one disconnected string was seen. This one is disconnected due to the broken modules. Both damaged modules that were located earlier in the week were removed from the racking in the event that this was creating the GF.. TechDispatched: Yes,stainback inverter forced outage stainback inverter forced outage inverter also energy went offline pm ground faultupon arrival gf voltage present gfdi reset inverter resumed normal operation took drone look strings one disconnected string seen one disconnected due broken modules damaged modules located earlier week removed racking event creating gf techdispatched yes,"['stainback', 'inverter', 'forced', 'outage', 'stainback', 'inverter', 'forced', 'outage', 'inverter', 'also', 'energy', 'went', 'offline', 'pm', 'ground', 'faultupon', 'arrival', 'gf', 'voltage', 'present', 'gfdi', 'reset', 'inverter', 'resumed', 'normal', 'operation', 'took', 'drone', 'look', 'strings', 'one', 'disconnected', 'string', 'seen', 'one', 'disconnected', 'due', 'broken', 'modules', 'damaged', 'modules', 'located', 'earlier', 'week', 'removed', 'racking', 'event', 'creating', 'gf', 'techdispatched', 'yes']","[(8, 2), (10, 4), (13, 1), (14, 2), (15, 2), (24, 1), (26, 1), (35, 1), (52, 1), (63, 1), (110, 1), (121, 1), (196, 1), (197, 1), (239, 1), (242, 1), (243, 1), (253, 1), (263, 1), (276, 1), (290, 2), (339, 1), (341, 1), (344, 1), (372, 2), (395, 1), (411, 1), (425, 1), (454, 1), (540, 1), (577, 1), (608, 1), (669, 1), (670, 1), (671, 1), (672, 2), (673, 1), (674, 1), (675, 1), (676, 1), (677, 2)]"
C2S114,17_018816,Closed,Corrective,2017-08-10 09:11:00,2017-08-10 10:15:00,Inverter offline due to Fan 7 Fault,Hardware Replacement. Hardware Replaced: Fan 7,243.0,Yes - Equipment,,2017-08-10 09:11:00,2017-08-10 10:15:00,C2,Inverter,Hardware Replacement,Hardware Failure,Full,,,,,,CA,2015-11-30,Inverter offline due to Fan 7 FaultHardware Replacement. Hardware Replaced: Fan 7,inverter offline due fan faulthardware replacement hardware replaced fan,"['inverter', 'offline', 'due', 'fan', 'faulthardware', 'replacement', 'hardware', 'replaced', 'fan']","[(10, 1), (13, 1), (111, 1), (176, 1), (341, 1), (360, 2), (361, 1), (362, 1)]"
C3S294,WO-1071353,Completed,Corrective,,,LaGrange - Inverter Mod 2.3 - Forced Outage. Inverter mod 2.3 failed to start up the morning of 11/24. C4 normally has access to PE inverters through PowerComm however the current PCP file is displaying a bad IP address and we are unable to reset the inverter mod.. 019 - Unplanned outage/derate,12/13/2019 Tim Chaput - Inverter is operational at this time. - Verified via Locus (see screen shot attached). - Issue self resolved.,,,High,2019-11-27 09:00:00,2019-12-13 17:00:00,C3c,Inverter module,14 - Self Resolved,Failure Class 3 - single inverter off-line,Underperformance,,,0.0,019 - Unplanned outage/derate,,NY,2019-06-05,LaGrange - Inverter Mod 2.3 - Forced Outage. Inverter mod 2.3 failed to start up the morning of 11/24. C4 normally has access to PE inverters through PowerComm however the current PCP file is displaying a bad IP address and we are unable to reset the inverter mod.. 019 - Unplanned outage/derate12/13/2019 Tim Chaput - Inverter is operational at this time. - Verified via Locus (see screen shot attached). - Issue self resolved.,lagrange inverter mod forced outage inverter mod failed start morning c normally access pe inverters powercomm however current pcp file displaying bad ip address unable reset inverter mod unplanned outage derate tim chaput inverter operational time verified via locus see screen shot attached issue self resolved,"['lagrange', 'inverter', 'mod', 'forced', 'outage', 'inverter', 'mod', 'failed', 'start', 'morning', 'c', 'normally', 'access', 'pe', 'inverters', 'powercomm', 'however', 'current', 'pcp', 'file', 'displaying', 'bad', 'ip', 'address', 'unable', 'reset', 'inverter', 'mod', 'unplanned', 'outage', 'derate', 'tim', 'chaput', 'inverter', 'operational', 'time', 'verified', 'via', 'locus', 'see', 'screen', 'shot', 'attached', 'issue', 'self', 'resolved']","[(3, 1), (8, 1), (9, 1), (10, 4), (11, 1), (12, 1), (15, 2), (18, 1), (20, 1), (27, 1), (28, 1), (29, 1), (51, 3), (66, 1), (72, 1), (113, 1), (114, 1), (116, 1), (120, 1), (124, 1), (163, 1), (202, 1), (242, 1), (252, 1), (262, 1), (363, 1), (381, 1), (384, 1), (394, 1), (493, 1), (511, 1), (519, 1), (542, 1), (678, 1), (679, 1), (680, 1), (681, 1), (682, 1), (683, 1), (684, 1)]"
C3S136,WO-0249753,Cancelled,Corrective,2019-02-16,,"Fox Creek - CB 6 - forced outage. Ran a CB audit using the SMA inverter GUI. According to EAB drawings, inverter 6 should have 13 CBs. Only 12 are reporting online. Canceled: Aerial scan 2 days before did not identify and CBs off on Inv 6. Additionally we are not seeing Inverter under-performance indicative of a CB offline.. 019 - Unplanned outage/derate",. TechDispatched: No,,No,Normal,2019-02-16 09:00:00,,C3b,Inverter,,Failure Class 5 - combiner(s) off-line,Underperformance,,,0.0,019 - Unplanned outage/derate. ,,NC,2018-10-03,"Fox Creek - CB 6 - forced outage. Ran a CB audit using the SMA inverter GUI. According to EAB drawings, inverter 6 should have 13 CBs. Only 12 are reporting online. Canceled: Aerial scan 2 days before did not identify and CBs off on Inv 6. Additionally we are not seeing Inverter under-performance indicative of a CB offline.. 019 - Unplanned outage/derate. TechDispatched: No",fox creek cb forced outage ran cb audit using sma inverter gui according eab drawings inverter cbs reporting online canceled aerial scan days identify cbs inv additionally seeing inverter performance indicative cb offline unplanned outage derate techdispatched,"['fox', 'creek', 'cb', 'forced', 'outage', 'ran', 'cb', 'audit', 'using', 'sma', 'inverter', 'gui', 'according', 'eab', 'drawings', 'inverter', 'cbs', 'reporting', 'online', 'canceled', 'aerial', 'scan', 'days', 'identify', 'cbs', 'inv', 'additionally', 'seeing', 'inverter', 'performance', 'indicative', 'cb', 'offline', 'unplanned', 'outage', 'derate', 'techdispatched']","[(8, 1), (10, 3), (13, 1), (15, 2), (26, 1), (29, 1), (40, 1), (78, 1), (123, 1), (144, 1), (151, 1), (214, 1), (232, 3), (241, 1), (321, 1), (482, 1), (511, 1), (515, 1), (517, 1), (685, 1), (686, 1), (687, 1), (688, 2), (689, 1), (690, 1), (691, 1), (692, 1), (693, 1), (694, 1), (695, 1), (696, 1)]"
C3S111,WO-0242737,Closed,Corrective,2019-01-11 11:30:00,2019-01-15 06:20:00,Nickelson - Inverter 1 - Forced outage; Grid overvoltage. Inverter 1 tripped offline around 1130 ET on 11-Jan from grid overvoltage.. 019 - Unplanned outage/derate,inverter is online 15-Jan. TechDispatched: No,,No,Critical,2019-01-11 11:30:00:00,2019-01-15 06:20:00:00,C3b,Inverter,02 - Repair,Failure Class 3 - single inverter off-line,Underperformance,,,0.0,019 - Unplanned outage/derate. ,OE-14355817,NC,2018-07-30,Nickelson - Inverter 1 - Forced outage; Grid overvoltage. Inverter 1 tripped offline around 1130 ET on 11-Jan from grid overvoltage.. 019 - Unplanned outage/derateinverter is online 15-Jan. TechDispatched: No,nickelson inverter forced outage grid overvoltage inverter tripped offline around et jan grid overvoltage unplanned outage derateinverter online jan techdispatched,"['nickelson', 'inverter', 'forced', 'outage', 'grid', 'overvoltage', 'inverter', 'tripped', 'offline', 'around', 'et', 'jan', 'grid', 'overvoltage', 'unplanned', 'outage', 'derateinverter', 'online', 'jan', 'techdispatched']","[(8, 1), (10, 2), (13, 1), (15, 2), (26, 1), (29, 1), (122, 1), (144, 1), (342, 1), (443, 1), (484, 2), (547, 1), (697, 2), (698, 1), (699, 2)]"
