randid,Date_EventStart_Consistent,Date_EventEnd_Consistent,GeneralDesc,CompletionDesc,Asset,states,Commissioning_Date,DC_Size_kW,AC_Size_kW,PlantType,ArrayType,InverterType,InverterOEM
C2S54,2017-09-22 14:40:00,2017-09-26 10:30:00,Inverter not producing due to Unknown,Field Wiring Repair. Hardware Replaced: ,Inverter,CA,2012-07-23,181.0,250.0,Distributed Generation,,central,
C2S54,2017-02-01 08:00:00,2017-02-10 14:25:00,Inverter Faulted Due Hardware Malfunction,Power Cycle. Hardware Replaced: ,Inverter,CA,2012-07-23,181.0,250.0,Distributed Generation,,central,
C2S88,2016-06-01 13:35:00,2016-06-06 13:45:00,Plant offline due to electrician's error,Reclose. Hardware Replaced: ,,CA,2011-12-23,104.2,100.0,Distributed Generation,,central,
C3S300,2017-06-07 09:00:00,2017-12-11 09:50:00,Tracker repair. ,. ,Tracking System,OR,2016-12-03,5891.0,6600.0,Utility-scale,Tracker,,SMA America
C3S300,2017-04-14 09:00:00,2017-05-24 15:34:00,Motor 1 Tracker not at set-point.. Encoder feedback error,Reset encoder fault. Calibrate tracker. ,,OR,2016-12-03,5891.0,6600.0,Utility-scale,Tracker,,SMA America
C3S300,2017-04-14 09:00:00,2017-04-14 20:30:00,ATI Tracker error: Possible encoder error.. ,calibration of tracker. ,,OR,2016-12-03,5891.0,6600.0,Utility-scale,Tracker,,SMA America
C3S300,2017-06-08 09:00:00,2017-08-31 07:00:00,Motor 1 registering encoder feedback error.. Encoder Fault,Cleared error at Encoder. Re-calibrated tracker. Jumped power from tracker PLC to 24VDC power supply. Checked Voltage and re-landed all wires at PLC and encoder. There was a loose wire at the encoder where two wires were landed at one terminal. Set tracker into calibrate cycle and tracker continued to track correctly.. ,Tracking System,OR,2016-12-03,5891.0,6600.0,Utility-scale,Tracker,,SMA America
C3S300,2017-06-12 09:00:00,,Site not communicating with DAS. ,Contacted Solv regarding DAS at Railroad.. ,,OR,2016-12-03,5891.0,6600.0,Utility-scale,Tracker,,SMA America
C3S300,2017-09-15 09:00:00,2017-09-14 16:30:00,Cleaning Soiling station and wiping all GHI and POA Pyrnamoneters.. ,Scrubbed and cleaned soiling stations and cleaned all GHI and POA Pyranometers. soiling station was extremely dirty due to pollen during mowing. There is also significant dirt and ash residue.,Other,OR,2016-12-03,5891.0,6600.0,Utility-scale,Tracker,,SMA America
C3S300,2017-04-20 09:00:00,2017-04-14 18:00:00,site curtailed by Idaho Power. ,site curtailed by utility to about 3075kW for approximately 3 hours. ,,OR,2016-12-03,5891.0,6600.0,Utility-scale,Tracker,,SMA America
C3S300,2017-06-05 09:00:00,2017-08-31 07:00:00,Motor 1 on 4X PLC 172.20.1.167 registered encoder feedback error for the second time since handover from Panasonic. Have to reset encoder on site.. Encoder Feedback Eerror,Resolved per WO 4287. ,Tracking System,OR,2016-12-03,5891.0,6600.0,Utility-scale,Tracker,,SMA America
C3S300,2017-07-25 09:00:00,2017-07-25 15:01:00,All inverters not communcating but still producing. Verified through meter.. ,SOLV remotely fixed comms. ,Central Inverter,OR,2016-12-03,5891.0,6600.0,Utility-scale,Tracker,,SMA America
C3S300,2017-04-04 09:00:00,2017-04-04 13:58:00,Service trackers. ,inspection of trackers. ,,OR,2016-12-03,5891.0,6600.0,Utility-scale,Tracker,,SMA America
C3S300,2017-10-17 09:00:00,2017-10-17 17:44:00,inverter 1 trackers down. There was actually no issue with trackers. Canceled.. ,Power Cycled the tracker and calibrated.. Tracker came back up after gear box was power cycled.,Tracking System,OR,2016-12-03,5891.0,6600.0,Utility-scale,Tracker,,SMA America
C3S300,2017-08-30 09:00:00,2017-08-30 14:00:00,"ATI tracker issue, B0102TC2 - Motor 4; tracker returns to zero earlier than scheduled.. ",Tracker was at setpoint and functioning normally when I arrived on site. Power cycled PLC. ,Tracking System,OR,2016-12-03,5891.0,6600.0,Utility-scale,Tracker,,SMA America
C3S300,2017-08-16 09:00:00,2017-08-21 03:00:00,"Updated, site not communicating. Site offline, no production.. ",Arrived on site and checked at the pads to see if the site was producing power. It was so I went to the DAS enclosure at the dip poles and performed a power cycle. After power cycle the NOC still could not view the site I called Centurylink and created a ticket with circuit services. Was fixed by Sam by power cycling UPS.. On hold for Centurylink assessment,Site,OR,2016-12-03,5891.0,6600.0,Utility-scale,Tracker,,SMA America
C3S300,2017-11-21 09:18:00,2017-11-21 19:00:00,Railroad VPN login not working.. ,. Worked with Stephanie from Solv on Tuesday Nov. 21st and was able to repair VPN issue at Railroad. C4 verified login credentials were repaired.,Tracking System,OR,2016-12-03,5891.0,6600.0,Utility-scale,Tracker,,SMA America
C3S300,2017-08-22 09:00:00,2017-08-23 11:20:00,Site is experiencing a communication outage. Site is not accessible via DAS.. ,WO-5705 already created for this issue.. ,Other,OR,2016-12-03,5891.0,6600.0,Utility-scale,Tracker,,SMA America
C3S300,2017-08-22 09:00:00,2017-08-22 14:30:00,Sam Kendrick was on site for two hours trying to restore communications at the SCADA cabinet. Sam was not able to contact anyone at Solv for assistance.. ,Sam Kendrick power cycled SCADA stacks and plugged into wireless router in an attempt to see if there was a WAN/LAN connection to the site.. ,Other,OR,2016-12-03,5891.0,6600.0,Utility-scale,Tracker,,SMA America
C3S300,2017-11-22 09:00:00,2017-12-12 12:15:00,Updated 24-Nov-2017 during tracker audit: Tracker motor 4 in inverter 2 is not correctly set causing underperformance in the afternoon. Incorrect set point in controller. West Array Spacing needs to be corrected to 19.00 from 6.54. ,"Corrected ""West Array Row Spacing"" parameter. Changed from 6.54 to match other controllers at 19.00 Corrected module height from 5.15 to 6.54. ",Tracking System,OR,2016-12-03,5891.0,6600.0,Utility-scale,Tracker,,SMA America
C3S300,2018-05-20 15:10:00,2018-05-21 11:15:00,Railroad farm stopped communicating/producing on 05/20/18 @ 1510. Cell modem and inverters are inaccessible to verify production. *****Was verified to be a comms outage*****. ,Inspected overhead lines and communication cabinet. Verified production at meter. Power cycled comm cabinet and confirmed production with C4.. ,Site,OR,2016-12-03,5891.0,6600.0,Utility-scale,Tracker,,SMA America
C3S300,2018-06-04 09:00:00,2018-06-05 00:45:00,WO created for support on retrofit for SMA inverters.. ,Displays replaced on all inverters on site. ,Central Inverter,OR,2016-12-03,5891.0,6600.0,Utility-scale,Tracker,,SMA America
C3S300,2017-11-29 23:30:00,2017-11-30 15:06:00,"Inverter 3 offline as of 11:30 29-Nov. Beginning with 6487 AC ground fault with 6625 and 6422 events following.. 6487 AC ground fault, 6625 Stack cur. is permanently in limitation, 6422 Unspecified HW fault","Machine had VAC all lines within tolerance, no signs of charring. Investigation and Power cycle of the machine. Inverter is now producing at 877 KW. ",Central Inverter,OR,2016-12-03,5891.0,6600.0,Utility-scale,Tracker,,SMA America
C3S300,2018-01-15 10:00:00,2018-01-23 15:00:00,All three inverters at the site have not communicated since 8:00 AM (MST). Meters and weather sensors are also not communicating and the cell modem cannot be accessed. C4 is unable to remotely access the VPN required to check inverter production. The issue is experienced in both PowerFactors and SOLV.. ,attempted multiple power cycles of inverter. Inverter fault 8713 would not clear. SMA service is required. 01/23- SMA service tech was onsite and updated the MODBUS profile. Inverter 1 is now communicating with the local plant controller properly.. 4 amp barrel fuse was blown on the primary side of step down transformer on dip pole. Bird excrement was obvious on pole. Fuse was replaced and reinserted in blades all power returned and communications were confirmed.,Site,OR,2016-12-03,5891.0,6600.0,Utility-scale,Tracker,,SMA America
C3S300,2018-01-15 10:00:00,2018-01-19 17:30:00,Inverter 1 is offline. Sam Kendrick was onsite to investigate a site-wide communication outage and confirmed that inverter 1 was offline but 2 and 3 were on and producing. Update 01/19: Inverter is offline with 8713 error. Acknowledged error and reset remotely but fault did not clear. ,Attempted to power cycle inverter.. Inverter did not respond to power cycles. Ticket was generated with SMA service department.,Central Inverter,OR,2016-12-03,5891.0,6600.0,Utility-scale,Tracker,,SMA America
C3S300,2018-01-03 09:00:00,,There is no DC monitoring for inverter 3. Both SOLV and PowerFactors is unable to read CB output.. ,. All DCM board fuses were checked for continuity on both DCM 1 and DCM 2. Only two were found to be bad and they were on DCM 1. Continuity of all phoenix contacts and shunt wires were checked for continuity back to DC bus at reclosers. All were continuous and functioning properly. Amperage was measured and registered at all boxes that were not reading at inverter. Event files were pulled and sent to SMA. Waiting on SMA.,Central Inverter,OR,2016-12-03,5891.0,6600.0,Utility-scale,Tracker,,SMA America
C3S22,2017-11-20 07:30:00,2017-11-20 14:15:00,"CB 1.1.08 stopped communicating at 7:30 AM. Shows 0A but all inverters are producing at the same rate, so the CB is producing.. ",Communications issue resolved itself. ,Combiner Box,IN,2016-09-12,7054.0,5280.0,Utility-scale,Fixed,,SMA America
C3S22,2018-05-02 09:00:00,,"Replacement of cell modem to current spec Sierra Wireless. 1. Arrive on site; open DAS cabinet; wire in the new cell modem with the shipped antenna while the old modem and antenna are still in place and powered on. a. DC wiring is Red and White to positive, and Black to negative. 2. Email security@gridsme.com and rush.ferrell@ccrenew.com. Instruct them of what farm you are at and what modem IMEI you have with you. The IMEI will be listed on the box as well as the sticker on the bottom side of the modem. 3. GridSME will begin matching up all of the modem settings. And you are free to perform any other tasks you are on site for. 4. Once the migration is complete, GridSME will notify you via email. 5. Uninstall the old modem, leaving the antenna, and permanently install the new modem. 6. Leave site with the old cell modem and the shipped antenna.. ",. ,Other,IN,2016-09-12,7054.0,5280.0,Utility-scale,Fixed,,SMA America
C3S22,2018-04-09 14:31:00,,**Cancelled** Issue covered in WO 10180 All inverters are cycling on and off throughout the day (besides 1.1 and 1.2 which are offline). Probable issue with AC voltage.. ,. ,Central Inverter,IN,2016-09-12,7054.0,5280.0,Utility-scale,Fixed,,SMA America
C3S22,2018-05-17 10:23:00,2018-05-17 19:50:00,"Site offline, Duke Indiana called to inform that recloser isolation disconnects are open on the recloser, they think there is a fault on our side.. ",Closed in site per coordination outlined in LN-15733 https://ccrenew.my.salesforce.com/a2q0e00000BJmww. ,POI/Medium Voltage,IN,2016-09-12,7054.0,5280.0,Utility-scale,Fixed,,SMA America
C3S22,2018-02-13 09:49:00,2018-05-11 10:26:00,Jeff McQuillan called to say they are taking Sullivan offline to test transformer on pad 1--- Jeff said they will come back Thursday to figure out what parts they need to fix the damaged transformer 1. ,This WO accompanies the larger work order 10371 about transformer repairs. No need to keep both open.. ,Site,IN,2016-09-12,7054.0,5280.0,Utility-scale,Fixed,,SMA America
C3S22,2018-06-07 18:35:00,,"Site offline, Duke Indiana called to inform that recloser isolation disconnects are open on the recloser, they think there is a fault on our side. Duke has already completed a field inspection of their equipment and requested CCR perform an inspection on our side before requesting to close utility side back in.. ",. ,POI/Medium Voltage,IN,2016-09-12,7054.0,5280.0,Utility-scale,Fixed,,SMA America
C3S22,2018-04-12 09:00:00,,"Transformer 1 offline, O&M waiting on XFMR replacement part (ETA end of June). This issue effects production of inverters 1.1 and 1.2, as well as the communications on inverters 1.1, 1.2. Site coms were restored on 3/25/2018, which caused the coms WO 9962 to be created. WO 8648, 8649 created after transfomer fault, meaning the the inverters are functioning normally but are not able to feed power through the transformer. Issues cannot be resolved until transformer is repaired (ETA end of June), hence why WOs 8648, 8649, and 9962 have been closed and consolidated into this WO. The only other solution would be to dig a new conduit run out to Pad 1.. ",. ,Transformer,IN,2016-09-12,7054.0,5280.0,Utility-scale,Fixed,,SMA America
C3S22,2018-04-03 13:30:00,2018-04-09 02:16:00,Inverter 2.3 faulted offline around 1330 on 3-Apr from a GFDI trip. SMA web portal states that it is a 'photovoltaic' error indicating a fault in the PV array.. 3502,. ,Central Inverter,IN,2016-09-12,7054.0,5280.0,Utility-scale,Fixed,,SMA America
C3S22,2018-03-23 19:50:00,,"Pads 1, 2 not communicating after site comms restored 03/23/18 Pad 2 restored on 03/25/2018, Pad 1 wont be back until the transformer from WO8649 is back up. ","WO consolidated into new WO 10371, along with 8648, 8649.. ",Other,IN,2016-09-12,7054.0,5280.0,Utility-scale,Fixed,,SMA America
C3S22,2017-11-14 17:30:00,2018-01-30 00:00:00,All DC inputs on inverter 3.6 are not communicating besides CB 3.6.49. CB's are producing.. ,Issue self resolved. ,Combiner Box,IN,2016-09-12,7054.0,5280.0,Utility-scale,Fixed,,SMA America
C3S22,2018-01-24 23:00:00,,"Inverter 1.2 offline as of 11:00 this morning. Inverter displays operating mode: WaitGrid, but is not starting. AC Voltage reading is currently ~375VAC.. ",Consolidated into WO 13071. ,Central Inverter,IN,2016-09-12,7054.0,5280.0,Utility-scale,Fixed,,SMA America
C3S22,2017-07-27 09:00:00,,String repairs. ,. 10 strings fixed. Most are workmanship/wiring issues.we will follow up with a complete list. Friday 7/28: fixed 6 more strings until we were out of material,String,IN,2016-09-12,7054.0,5280.0,Utility-scale,Fixed,,SMA America
C3S22,2017-04-27 09:00:00,2017-07-25 09:06:00,Weather station at pad 1 not communicating. ,ModBus 41 replaced. RMA started with AlsoEnergy.. ,,IN,2016-09-12,7054.0,5280.0,Utility-scale,Fixed,,SMA America
C3S22,2017-04-12 09:00:00,2017-04-13 09:56:00,Inverter 2.4 not communicating/producing. ,Investigated inverter 2.4 not reporting/producing. ,,IN,2016-09-12,7054.0,5280.0,Utility-scale,Fixed,,SMA America
C3S22,2017-11-01 06:48:00,,Inverter 2.4 stopped communicating last night. Could not login to inverter this morning. Confirmed production through meter after site came online. ,. ,Central Inverter,IN,2016-09-12,7054.0,5280.0,Utility-scale,Fixed,,SMA America
C3S22,2017-05-15 09:00:00,2017-05-15 13:06:00,Site offline/not communicating. ,Verizon comm issue resolved itself. ,,IN,2016-09-12,7054.0,5280.0,Utility-scale,Fixed,,SMA America
C3S22,2017-10-29 14:30:00,2017-10-29 14:40:00,3 Inverters went down with a 3403 error. 3403 is a DC overvoltage alarm. The alarms self resolved within a short time and all inverters are producing. ,Self-resolved within a few minutes. ,Central Inverter,IN,2016-09-12,7054.0,5280.0,Utility-scale,Fixed,,SMA America
C3S22,2018-04-04 11:00:00,,"Inverters 2.4, 3.5, 3.6 had several intermittent outages on 4/4/18 lasting approximately 10 to 30 minutes each. No inverter fault reported into PowerTrack.. ",. ,Central Inverter,IN,2016-09-12,7054.0,5280.0,Utility-scale,Fixed,,SMA America
C3S22,2018-01-23 09:00:00,2018-01-23 14:30:00,"Inverter 1.2 not producing, inverter webpage shows 'warning' status. grid overvoltage fast state in powertrack.. ",Dan Rosenberg resolved grid voltage issue.. ,Central Inverter,IN,2016-09-12,7054.0,5280.0,Utility-scale,Fixed,,SMA America
C3S22,2018-01-21 17:11:00,,Inverter 3.5 stopped communicating at 17:11 on 1/21/18. Could not login to inverter this morning. Confirmed production through meter after site came online. ,. ,Central Inverter,IN,2016-09-12,7054.0,5280.0,Utility-scale,Fixed,,SMA America
C3S22,2018-01-24 12:30:00,,"Inverter 1.1 offline as of 12:30 this afternoon. Inverter displays operating mode: WaitGrid, but is not starting. AC Voltage reading is currently ~375VAC.. ",Consolidated into WO 13071. ,Central Inverter,IN,2016-09-12,7054.0,5280.0,Utility-scale,Fixed,,SMA America
C3S175,2018-05-22 16:30:00,,Mod 3.2 went offline at 1630 on 22-May after underperformance and indeterminacy the previous few days. No alarms indicated. A different mod on this inverter experienced the same issue (WO 10100) and was an IGBT fan issue.. ,. ,String Inverter,NC,2017-08-01,7002.0,5070.0,Utility-scale,Fixed,central,Power Electronics
C3S175,2018-02-16 12:45:00,2018-02-19 09:00:00,"Inverters Mod 1.4 & 2.5 went offline at about 1245 and 1315 respectively. Power track alarm states ""IGBTs temp limit reached"" for Mod 2.5, there is no alarm for Mod 1.4. Sending an email to Power electronics for further investigation.. 542 Power Electronics fault alert",Power Electronics repaired 18-Feb. ,Central Inverter,NC,2017-08-01,7002.0,5070.0,Utility-scale,Fixed,central,Power Electronics
C3S175,2017-12-15 09:00:00,2017-12-27 12:00:00,"Update: New alarm on AlsoEnergy indicates the fault is 'IGBTs temp limit reached' Mod 1.9 seems to produce intermittently. Starting on the morning of 15-Dec, the inverter cycles on and off multiple time a day. PE to visit site on 12/27/2017.. 542/IGBTs temp limit reached",Troubleshooting revealed a defective IGBT fan; PE technician replaced the fan and the issue was resolved.. ,Central Inverter,NC,2017-08-01,7002.0,5070.0,Utility-scale,Fixed,central,Power Electronics
C3S175,2017-10-16 08:45:00,2017-11-03 12:57:00,Mod 1.5 offline.. ,IGBT fan was defective and was replaced with a new fan. Module 1.5's positive bus that attaches to the contactor showed signs of overheating. DC contactor was replaced and new bus work was installed.. ,Central Inverter,NC,2017-08-01,7002.0,5070.0,Utility-scale,Fixed,central,Power Electronics
C3S175,2017-10-15 13:00:00,2017-11-02 12:00:00,"Mod 1.7 offline. Power track indicates ""IGBT temp limits reached"". This issue started on the 15-Oct. This mod drops offline after startup and indicates the same error which self resolved after ~30min. IGBT temp limits reached",Troubleshooting revealed a defective IGBT fan. Power Electronics technician replaced fan and the issue was resolved.. ,Other,NC,2017-08-01,7002.0,5070.0,Utility-scale,Fixed,central,Power Electronics
C3S175,2017-10-24 12:45:00,2017-11-03 11:00:00,Mod 2.7 offline. 11.3.2017 - Meet PE technician on Site. ,IGBT fan was defective and was replaced with a new fan. Module 2.8's negative bus that attaches to the contactor showed signs of overheating. DC contactor was replaced and new bus work was installed.. ,Central Inverter,NC,2017-08-01,7002.0,5070.0,Utility-scale,Fixed,central,Power Electronics
C3S175,2018-02-09 23:46:00,2018-02-09 16:40:00,All inverters offline.. ,Inspected pole mounted and pad mounted MV equipment for root cause of primary cut out fuse blowing. Found no visual faults. Requested service from T&D Electrical to replace 200 amp cut out fuse.. MV SLD and Fuse Pics attached,POI/Medium Voltage,NC,2017-08-01,7002.0,5070.0,Utility-scale,Fixed,central,Power Electronics
C3S175,2018-03-16 09:00:00,2018-04-03 11:14:00,"Located during the Annual Aerial Thermal Scan: - CB 1.3 down ; Handle was in the on position and CB fuses were closed. Further troubleshooting needed - Series String I2.C7.33.34 down; Bottom Row. Please inspect the Modules in the northernmost 4 or 5 rows of C1.13. There are lots of module hot spots, and it is suspected that mud is on the back of the modules.. ",Isolated the recombiner and replaced the DC contactor for feeder 1.3. Turned all combiner boxes back on and started the inverter. Verified with Power Electronics and C4 that the issue was resolved prior to leaving the site.. ,Combiner Box,NC,2017-08-01,7002.0,5070.0,Utility-scale,Fixed,central,Power Electronics
C3S175,2018-02-23 14:15:00,2018-04-03 13:29:00,MOD 2.5 offline IGBTs temp limit reached **UPDATE** PE Technician should have repaired 03/16. Waiting for more data/ticket update before closing out WO. IGBT temp limit/542,"Inspected IGBT fan for proper functionality, and it could not be forced on. Checked IGBT fan wiring at found several of the terminations screwed into the wire insulation. Re terminated these wires and tested the fan; no issues. Verified with Power Electronics and C4 that the issue was resolved prior to leaving the site.. ",Central Inverter,NC,2017-08-01,7002.0,5070.0,Utility-scale,Fixed,central,Power Electronics
C3S175,2018-03-31 08:56:00,2018-04-03 15:34:00,"Mod 3.5 intermittent, Mod has been cutting on and off all morning. *IGBTs Temp limit reached. ","Tested IGBT fan for functionality; it could not be forced on. Replaced IGBT fan with a new one, and the fan began working properly. Verified with Power Electronics and C4 that the issue was resolved prior to leaving the site.. ",String Inverter,NC,2017-08-01,7002.0,5070.0,Utility-scale,Fixed,central,Power Electronics
C3S175,2018-05-10 12:15:00,2018-05-21 14:30:00,Mod 2.4 dropped off and stopped producing. update**** in PF I do not see the same issue. ,When came onsite we shut the cell inverter down and turned it back on to troubleshoot with Power electronics. When we plugged into the module it was producing. We called C4 and they could see module 2.4 then but could not when we came onsite. I am thinking there is a communication issue somewhere. C4 was able to see everything onsite before we left.. ,String Inverter,NC,2017-08-01,7002.0,5070.0,Utility-scale,Fixed,central,Power Electronics
C3S175,2017-12-30 14:28:00,2018-01-11 14:05:00,Mod 1.5 offline.. ,All three IGBTs and the cleared AC fuse for mod 1.5 were replaced. Module was forced on and ran with no issues. Verified with C4 that there were no other active alarms at the site.. ,Central Inverter,NC,2017-08-01,7002.0,5070.0,Utility-scale,Fixed,central,Power Electronics
C3S27,2018-01-19 12:05:00,2018-01-19 18:14:00,Site stopped communicating in AlsoEnergy at 12:05 PM on 19-Jan. Only alarm indicated is the data logger failing to respond. There are no addresses for C4 to remotely log into and check production.. ,Self resolved. ,Site,MA,2016-01-13,2822.0,2340.0,Utility-scale,Fixed,string,SMA America
C3S27,2018-05-31 00:00:00,,Pad 1 cluster controller is having communications issues. String inverters are sporadically communicating and C4 is unable to login to the cluster controller. The meter for that pad is still communicating and we can verify at least some of the inverters are producing. ,. ,String Inverter,MA,2016-01-13,2822.0,2340.0,Utility-scale,Fixed,string,SMA America
C3S27,2018-04-05 14:00:00,,The axis camera has stopped communicating. It has not updated since 1400 on 04/05/18.. ,. ,Other,MA,2016-01-13,2822.0,2340.0,Utility-scale,Fixed,string,SMA America
C3S27,2018-02-16 08:00:00,,"No comms from Inverters 3-1-1 through 3-2-4, verified through the meter that they are producing though.. No comms",. ,Central Inverter,MA,2016-01-13,2822.0,2340.0,Utility-scale,Fixed,string,SMA America
C3S27,2018-04-29 09:00:00,2018-04-29 18:21:00,East Bridgewater site ARK stopped communicating 3:02pm. Site was producing normally before ARK box stopped communicating. Can't connect into other devices.. ,self-resolved. ,Site,MA,2016-01-13,2822.0,2340.0,Utility-scale,Fixed,string,SMA America
C3S27,2018-02-11 14:02:00,2018-02-12 07:00:00,Site stopped communicating in AlsoEnergy at 14:02 on 11-Feb. Datalogger communication alarm indicated in PowerTrack. C4 currently does not have remote access to any equipment on site. ,"Issue self resolved. Data backfilled, unable to determine when the issue resolved. ",Site,MA,2016-01-13,2822.0,2340.0,Utility-scale,Fixed,string,SMA America
C3S27,2018-05-02 17:00:00,2018-05-03 09:15:00,String inverter 4-3-3 is offline as of 05/02/18 @ 1700. C4 is unable to reach the cluster controller for this inverter due to the new cybersecurity installed on the cell modems by AlsoEnergy. ,Raj and the Soltage team performed a remote reset. Inverter fault cleared and stayed online.. ,String Inverter,MA,2016-01-13,2822.0,2340.0,Utility-scale,Fixed,string,SMA America
C3S27,2018-06-01 05:30:00,2018-06-01 12:00:00,String inverter 1-2-1 is offline as of 0530 on 06/01/18. Unable to access the cluster controller to get a fault code or any further troubleshooting. ,Self resolved. ,String Inverter,MA,2016-01-13,2822.0,2340.0,Utility-scale,Fixed,string,SMA America
C3S27,2018-01-21 13:11:00,2018-01-23 14:15:00,"All inverters not communicating, all meters showing appropriate production.. ",Self resolved.. ,Central Inverter,MA,2016-01-13,2822.0,2340.0,Utility-scale,Fixed,string,SMA America
C3S27,2018-04-16 11:52:00,2018-04-25 06:00:00,String inverter 1-2-2 went offline around 1200 on 16-Apr. Inverter web portal indicates it tripped offline from an arc fault and the corrective measure is to check the DC generator.. 4301,issue resolved. ,String Inverter,MA,2016-01-13,2822.0,2340.0,Utility-scale,Fixed,string,SMA America
