,Date_EventStart,Date_EventEnd,Asset,CompletionDesc,Cause,ImpactLevel,randid,ExtractedDates,CleanDesc
10,10/19/2017 7:32,10/19/2017 15:12,other,troubleshot all reported string outages. repaired tested all but that are underperforming due to veg. issue has been escalated.. techdispatched: no,019 - Unplanned outage/derate. ,Underperformance,57,[],troubleshot reported string outages repaired tested underperforming due veg issue escalated techdispatched
11,12/23/2018 9:00,12/31/2018 17:00,substation,12/24/18: all inspections good.. techdispatched: yes,0000 - Unknown. ,,14,"[datetime.datetime(2018, 12, 24, 9, 0)]",inspections good techdispatched yes
12,12/20/2019 7:55,1/6/2020 11:30,inverter,1/6: escorted onsite to change out contactor 3. the contactor was changed out unit resumed operation after startup..,019 - Unplanned outage/derate,Underperformance,2,"[datetime.datetime(2019, 1, 6, 7, 55)]",escorted onsite change contactor contactor changed unit resumed operation startup
13,4/27/2017 16:03,6/30/2017 12:00,tracker,inspection troubleshooting malfunctioning trackers. motor 4 disconnect was replaced is functioning properly. techdispatched: no,013 - Broken. ,Underperformance,37,[],inspection troubleshooting malfunctioning trackers motor disconnect replaced functioning properly techdispatched
14,11/18/2019 9:00,11/18/2019 17:00,facility,"performed reset procedure is46 successfully, connection is up.",020 - Data/Communication System Outage,Communications,53,[],performed reset procedure successfully connection
15,6/24/2018 17:10,6/25/2018 11:05,inverter,c4 was unable to establish comms with site. checked equipment for any visual deficiencies. inverters seemed fine were producing. power cycled comms equipment. called c4 verified comms were established.. techdispatched: yes,0000 - Unknown. ,Underperformance,65,[],unable establish comms site checked equipment visual deficiencies inverters seemed fine producing power cycled comms equipment called verified comms established techdispatched yes
16,6/18/2018 10:55,6/19/2018 19:55,inverter,resolved.. techdispatched: no,0000 - Unknown. ,Underperformance,49,[],resolved techdispatched
17,6/5/2017 8:17,6/8/2017 17:30,facility,utility outage from 6/5 7am through 6/8 5:30pm. techdispatched: no,019 - Unplanned outage/derate. ,Production Outage,64,"[datetime.datetime(2017, 6, 5, 7, 17), datetime.datetime(2017, 6, 8, 17, 30)]",utility outage pm techdispatched
18,4/18/2018 13:42,4/30/2018 0:00,facility,closing wo. techdispatched: no,. ,Underperformance,5,[],closing wo techdispatched
19,1/26/2020 0:45,2/6/2020 15:50,inverter,switchgear breaker for 2.6 was tripped. breaker for inverter 2.6.2 was tripped. downloaded logs for inverter 2.6.2. the inverter was crispy inside. checked breaker saw no issues. checked switchgear breaker saw no issues. fyi: there?s an unused breaker 6. no inverters connex. i are starting an this evening with a was created for single inverter outage,019 - Unplanned outage/derate,Underperformance,32,"[datetime.datetime(2020, 1, 6, 0, 45)]",switchgear breaker tripped breaker inverter tripped downloaded logs inverter inverter crispy inside checked breaker saw issues checked switchgear breaker saw issues fyi unused breaker inverters connex starting evening created single inverter outage
20,11/28/2016 9:28,12/17/2017 18:23,inverter,cleared cleared alert however psi is -3 inverter will not start will be here to charge. techdispatched: no,. ,Underperformance,0,"[datetime.datetime(2016, 11, 3, 9, 28)]",cleared cleared alert however psi inverter start charge techdispatched
21,11/2/2017 10:59,1/17/2018 11:20,combiner,"2/21/2018, f. verified that cb 3.a5 has been restored when visited site 1/17/2018 for parallel work 8439. replacement.. techdispatched: no",020 - Data/Communication System Outage. ,Underperformance,3,"[datetime.datetime(2018, 2, 21, 10, 59), datetime.datetime(2017, 11, 3, 10, 59), datetime.datetime(2018, 1, 17, 10, 59)]",verified cb restored visited site parallel work replacement techdispatched
22,5/7/2018 1:47,5/8/2018 13:59,inverter,"checked network connection to rm-1 didn't see any issues (activity lights were good, its ip pinged out fine). opened up confirmed that meter was online, that issue had resolved. verified with c4 that issue was resolved prior to leaving site.. techdispatched: no",020 - Data/Communication System Outage. ,Underperformance,23,[],checked network connection n see issues activity lights good ip pinged fine opened confirmed meter online issue resolved verified issue resolved prior leaving site techdispatched
23,1/24/2019 9:00,6/21/2018 17:00,facility,"per j. 1/24: we changed tap settings all 42 transformers evening 21 june 2018. we used full crews from we were finished after about 5 hours. all tap settings were changed from a tap position to c tap position. additionally, both transformers substation remain tapped a tap position. since this change, inverters have ran much more reliably we have only had to change motors (versus 15 before position change). before tap changes, voltages ran very close to limits voltage spec?s for tcu?s motors. according to this was major factor causing motor winding failures. we also have not had to deal with issues such as short-cycling generators (due to voltage drop induced circuit when all 6 motors energized for rotation, causing to ?think? there was out starting up generators). i realize i?m yelling night understand an important test has to be passed, but i once again raising concern that this will have adverse effects(form long-term o&m perspective) across site.. techdispatched: yes",. ,,54,"[datetime.datetime(2019, 1, 24, 9, 0), datetime.datetime(2042, 1, 24, 9, 0), datetime.datetime(2018, 6, 21, 9, 0), datetime.datetime(2019, 1, 15, 9, 0)]",per changed tap settings transformers evening june used full crews finished hours tap settings changed tap position tap position additionally transformers substation remain tapped tap position since change inverters ran much reliably change motors versus position change tap changes voltages ran close limits voltage spec tcu motors according major factor causing motor winding failures also deal issues short cycling generators due voltage drop induced circuit motors energized rotation causing think starting generators realize yelling night understand important test passed raising concern adverse effects form long term perspective across site techdispatched yes
24,4/22/2019 9:00,4/23/2019 17:00,facility,all weekly inspection tasks inspection has been completed. no major issues were discovered.. techdispatched: yes,. ,,61,[],weekly inspection tasks inspection completed major issues discovered techdispatched yes
25,2/26/2020 14:45,2/27/2020 15:15,facility,"arrived site checked into c4. i was able to ping all inverters locally from switch before i cycled comms box. after comm box device was cycled, site began communicating around twenty minutes later. i believe i/0 module is faulty may completely stop working soon.",020 - Data/Communication System Outage,Underperformance,20,"[datetime.datetime(2020, 5, 26, 14, 45)]",arrived site checked able ping inverters locally switch cycled comms box comm box device cycled site began communicating around twenty minutes later believe module faulty may completely stop working soon
26,6/29/2018 18:35,6/30/2018 7:25,facility,. techdispatched: no,004 - Under voltage. ,Production Outage,42,[],techdispatched
27,6/21/2017 17:25,6/23/2017 12:00,inverter,confirmed that cb 1.1.6 was turned off. verified voltage from array turn cb the site was back online today. production was verified via monitoring.. techdispatched: no,019 - Unplanned outage/derate. ,Underperformance,34,[],confirmed cb turned verified voltage array turn cb site back online today production verified via monitoring techdispatched
28,10/12/2018 9:00,10/12/2018 17:00,facility,when i arrived onsite i noticed that utility recloser was i did site inspection everything looked good. i checked with c4 before i left.. techdispatched: yes,. ,,4,[],arrived onsite noticed utility recloser site inspection everything looked good checked left techdispatched yes
29,5/8/2017 14:30,6/30/2017 12:00,inverter,performed repair for inverters g & h. techdispatched: no,019 - Unplanned outage/derate. ,Underperformance,15,[],performed repair inverters techdispatched
30,5/28/2019 15:01,6/18/2019 17:00,inverter,pcb master core were swapped. inverter has been running since 7th,019 - Unplanned outage/derate,Underperformance,18,"[datetime.datetime(2019, 5, 7, 15, 1)]",pcb master core swapped inverter running since th
31,7/10/2019 9:00,7/29/2019 17:00,combiner,upon arrival cb 2.7 was offline with board tripped. the + lead board was not secure. it has been re-landed is now secure. the connections plc's were snugged to ensure good connection. all proper active channels were confirmed cb 2.7 resumed production.. 7.29 boards have been bypassed cb was brought back online,002 - Arc fault,Underperformance,21,[],upon arrival cb offline board tripped lead board secure landed secure connections plc snugged ensure good connection proper active channels confirmed cb resumed production boards bypassed cb brought back online
32,7/8/2019 16:20,7/24/2019 20:10,facility,"upon arrival, inverters 1 3 were tripped with breaker tripped fuse intact. inv 2 was online. inverters 1 3 were 0945. inspection enlosure revealed: - the meter took surge, wont the a-phase fuse (600v 1/10a fuse) is cleared. the meter will need to be replaced. -the cell modem took surge, wont multiple sources were tried. it will need to be replaced. -the ethernet switch took surge, it wont it will need to be replaced. -the datalogger is still working. an will be attempted, but because this was lightning they likely wont cover equipment under warranty.",019 - Unplanned outage/derate,Underperformance,60,"[datetime.datetime(2019, 1, 10, 16, 20)]",upon arrival inverters tripped breaker tripped fuse intact inv online inverters inspection enlosure revealed meter took surge wont phase fuse v fuse cleared meter need replaced cell modem took surge wont multiple sources tried need replaced ethernet switch took surge wont need replaced datalogger still working attempted lightning likely wont cover equipment warranty
33,7/20/2018 18:00,8/9/2018 10:45,inverter,this is redundant created by c4. i asked them to cancel it but they obviously didn?t do it. so i assigmed it to myself to cancel. these issues that we are working with are captured 0189805.. techdispatched: yes,0000 - Unknown. ,Underperformance,53,[],redundant created asked cancel obviously assigmed cancel issues working captured techdispatched yes
34,7/20/2019 20:38,7/21/2019 17:00,inverter,"7/21/19 w/o 0287481 w-b10-1 upon arriving found inverter fault mode, had code #60 sp3 (control power sp) failure, code #61 sp2 (grid sp) failure, performed cb 37 soft reset inverter is running producing, called c-4, talked with they see it running producing. inverter went off 7/21/19 06:15 inverter back 7/21/19 07:45 loss production was 1 hour 30 minutes.",019 - Unplanned outage/derate,Underperformance,54,"[datetime.datetime(2019, 7, 21, 20, 38), datetime.datetime(2019, 10, 1, 20, 38), datetime.datetime(2037, 7, 20, 20, 38), datetime.datetime(2019, 7, 21, 6, 15), datetime.datetime(2019, 7, 21, 7, 45), datetime.datetime(2019, 7, 30, 20, 38)]",w w b upon arriving found inverter fault mode code sp control power sp failure code sp grid sp failure performed cb soft reset inverter running producing called talked see running producing inverter went inverter back loss production hour minutes
35,8/30/2018 9:00,12/11/2018 17:00,facility,quarterly for completed day 12/11/2018. techdispatched: no,. ,,47,"[datetime.datetime(2018, 12, 11, 9, 0)]",quarterly completed day techdispatched
36,9/23/2018 9:00,9/26/2018 17:00,substation,all weekly substation tasks completed.. techdispatched: yes,. ,,2,[],weekly substation tasks completed techdispatched yes
37,1/22/2019 14:35,1/22/2019 17:00,facility,c4 closed remotely.. techdispatched: no,004 - Under voltage. ,Production Outage,65,[],closed remotely techdispatched
38,10/17/2016 16:25,12/31/2016 12:00,inverter,600. techdispatched: no,. ,Underperformance,59,[],techdispatched
39,3/16/2019 9:00,4/16/2019 17:00,combiner,pure power fixed damaged source circuits did for this row. on 4/16 ccr checked connections re-fused combiner box to return it to 15:15. techdispatched: yes,019 - Unplanned outage/derate. ,Underperformance,59,"[datetime.datetime(2019, 4, 16, 9, 0), datetime.datetime(2019, 3, 16, 15, 15)]",pure power fixed damaged source circuits row ccr checked connections fused combiner box return techdispatched yes
40,5/7/2019 2:20,5/7/2019 17:00,facility,c4 closed site remotely. techdispatched: no,004 - Under voltage. ,Production Outage,45,[],closed site remotely techdispatched
41,8/2/2018 9:00,8/2/2018 17:00,tracker,"west w-a5/w-b5, row 12-20, flat, this is being worked it is reoccurring issue. east all good.. techdispatched: yes",. ,,53,"[datetime.datetime(2018, 12, 20, 9, 0)]",west w w b row flat worked reoccurring issue east good techdispatched yes
42,8/29/2018 13:15,8/30/2018 10:00,inverter,"when i arrived onsite inverter was up running. i checked error log was showing faults, so inverter was able to faults come back up its own.. techdispatched: yes",0000 - Unknown. ,Underperformance,26,[],arrived onsite inverter running checked error log showing faults inverter able faults come back techdispatched yes
43,8/1/2018 17:15,8/2/2018 10:10,inverter,"2, august 2018 - upon arrival inverter w-a1-2 was not running. checked all comm lights communication lights were flashing comm enclosure. turned inverter ?off? position opened all disconnect switches. displayed comm error (hmi-mmi communication error). reset cb 37 (circuit breaker) to cycle inverter. closed all disconnect switches turned inverter to ?on? position. inverter started up. called c4 to confirm that inverter was showing production scada. confirmed that inverter was showing production scada. inverter is now running producing.. techdispatched: yes",020 - Data/Communication System Outage. ,Underperformance,55,"[datetime.datetime(2018, 8, 1, 17, 15), datetime.datetime(2018, 1, 2, 17, 15), datetime.datetime(2037, 8, 1, 17, 15)]",august upon arrival inverter w running checked comm lights communication lights flashing comm enclosure turned inverter position opened disconnect switches displayed comm error hmi mmi communication error reset cb circuit breaker cycle inverter closed disconnect switches turned inverter position inverter started called confirm inverter showing production scada confirmed inverter showing production scada inverter running producing techdispatched yes
44,3/30/2019 9:00,4/29/2019 17:00,facility,all quarterly tasks have been completed. no issues were discovered. all inverter filters were cleaned during pm.. techdispatched: yes,. ,,58,[],quarterly tasks completed issues discovered inverter filters cleaned pm techdispatched yes
45,9/16/2019 13:30,9/18/2019 0:25,inverter,"inverter displayed ground fault. after resetting breaker confirming that breaker stayed engaged, i restarted inverter. after ten minute countdown, contactors closed inverter began producing. i unsure what caused fault, monitoring inverter will be required case it faults out again.",001 - Ground fault,Underperformance,16,[],inverter displayed ground fault resetting breaker confirming breaker stayed engaged restarted inverter ten minute countdown contactors closed inverter began producing unsure caused fault monitoring inverter required case faults
46,1/16/2020 9:00,1/16/2020 17:00,facility,replaced filters all inverters.,0000 - Unknown,Underperformance,25,[],replaced filters inverters
47,12/12/2018 9:00,4/16/2019 17:00,combiner,. techdispatched: no,0000 - Unknown. ,Communications,50,[],techdispatched
48,2/6/2019 9:00,4/21/2019 17:00,inverter,the site had throughout february. closed this out as site has come as snowmelt occurred.. techdispatched: no,023 - Snow. ,Underperformance,51,"[datetime.datetime(2019, 2, 6, 9, 0)]",site throughout february closed site come snowmelt occurred techdispatched
49,6/8/2019 8:45,6/9/2019 11:35,inverter,"6/9/19 - inverter 3 was offline with ground fault error, was able to reset breaker cycle inverter to get it back up producing, however due to heavy rain was unable to troubleshoot issue further. 6/11/19 - returned to site to troubleshoot re-occurring ground fault inverter 3. walked array inspected for any damaged wiring. inspected all cb's for any issues tested for ground fault signs but found nothing inspected breaker measured for any grounding conductor but found no signs leaking onto ground. either breaker inverter 3 is faulty ground fault conditions only occurs during rain when racking gets wet. will need to investigate more during ground fault either start ticket with inverter manufacturer do more testing when conditions are wet.",001 - Ground fault,Underperformance,16,"[datetime.datetime(2019, 6, 9, 8, 45), datetime.datetime(2019, 6, 11, 8, 45), datetime.datetime(2019, 6, 3, 8, 45)]",inverter offline ground fault error able reset breaker cycle inverter get back producing however due heavy rain unable troubleshoot issue returned site troubleshoot occurring ground fault inverter walked array inspected damaged wiring inspected cb issues tested ground fault signs found nothing inspected breaker measured grounding conductor found signs leaking onto ground either breaker inverter faulty ground fault conditions occurs rain racking gets wet need investigate ground fault either start ticket inverter manufacturer testing conditions wet
50,4/24/2019 9:00,4/24/2019 17:00,other,inventory sub techdispatched: yes,. ,Underperformance,14,[],inventory sub techdispatched yes
51,6/23/2019 7:20,6/23/2019 10:15,facility,"either reboot datalogger worked, issue resolved. all data back-filled itself.",020 - Data/Communication System Outage,Production Outage,33,[],either reboot datalogger worked issue resolved data back filled
52,8/24/2018 16:25,8/25/2018 11:35,facility,utility replaced fuse. techdispatched: no,004 - Under voltage. ,Production Outage,66,[],utility replaced fuse techdispatched
53,4/21/2019 9:00,4/21/2019 17:00,inverter,inverter resolved. techdispatched: no,019 - Unplanned outage/derate. ,Underperformance,54,[],inverter resolved techdispatched
54,8/2/2019 17:15,8/4/2019 7:15,inverter,8/3/19 cc: c4 reports pv ground overcurrent error from gui. upon arrival both ground fault fuses were found intact. the array was inspected to rule out pv fault. a voltage imbalance fault was observed after cycle. the engine compartment was inspected found good condition. data was downloaded to create case with 8/4: inverter started this pointing to contactors acting up again.,001 - Ground fault,Underperformance,19,"[datetime.datetime(2019, 8, 3, 17, 15), datetime.datetime(2019, 8, 4, 17, 15)]",cc reports pv ground overcurrent error gui upon arrival ground fault fuses found intact array inspected rule pv fault voltage imbalance fault observed cycle engine compartment inspected found good condition data downloaded create case inverter started pointing contactors acting
55,1/17/2020 9:00,1/17/2020 17:00,tracker,"w/o 1/17/20 # 1073164 w-7 2-18-2 has bad motor, turned motor off, changed it out to motor is working good now.",014 - Motor winding failure,Underperformance,55,[],w bad motor turned motor changed motor working good
56,10/31/2017 9:16,10/31/2017 11:07,facility,site tour for development o&m administration.. techdispatched: no,. ,Underperformance,8,[],site tour development administration techdispatched
57,6/2/2018 15:50,10/1/2018 17:00,inverter,fixed by contractor. techdispatched: no,019 - Unplanned outage/derate. ,Underperformance,49,[],fixed contractor techdispatched
58,5/29/2019 14:25,5/29/2019 16:05,inverter,resolved,001 - Ground fault,Underperformance,48,[],resolved
59,12/12/2018 9:00,12/21/2018 17:00,facility,replaced modem. c4 could not see it. i called me contact with support after lengthy amount troubleshooting we were able to get site communicating c4 confirmed this.. techdispatched: yes,020 - Data/Communication System Outage. ,Production Outage,6,[],replaced modem could see called contact support lengthy amount troubleshooting able get site communicating confirmed techdispatched yes
60,1/16/2018 9:17,1/21/2018 11:33,facility,resolved. techdispatched: no,. ,,56,[],resolved techdispatched
61,3/3/2018 13:44,3/3/2018 15:38,inverter,[no completion notes were entered servicemax]. techdispatched: no,019 - Unplanned outage/derate. ,Underperformance,14,[],completion notes entered servicemax techdispatched
62,7/9/2017 12:52,7/10/2017 10:30,facility,inspected mv. closed f6 recloser. verified inverter production site with c4. updated tracker global clock.. techdispatched: no,019 - Unplanned outage/derate. ,Production Outage,13,[],inspected mv closed recloser verified inverter production site updated tracker global clock techdispatched
63,2/25/2019 9:00,2/25/2019 17:00,tracker,"w/o 2/25/18 w-9, row 16, 11 winch replacement. 1. upon arriving, assess work area determined it was safe. 2. made sure winch cable was not binding. 3. went to to tracker, left tracker manual mode. 4. removed all damaged equipment. 5. installed winch equipment. 6. returned to to back automatic mode, made sure it was tracking sync with rest 7. verify winch was working properly accordance with manufacturer?s recommendations.. techdispatched: yes",013 - Broken. ,Underperformance,53,"[datetime.datetime(2018, 2, 25, 9, 0), datetime.datetime(2019, 2, 1, 9, 0), datetime.datetime(2019, 2, 2, 9, 0), datetime.datetime(2019, 2, 3, 9, 0), datetime.datetime(2019, 2, 4, 9, 0), datetime.datetime(2019, 2, 5, 9, 0), datetime.datetime(2019, 2, 6, 9, 0), datetime.datetime(2019, 2, 7, 9, 0)]",w row winch replacement upon arriving assess work area determined safe made sure winch cable binding went tracker left tracker manual mode removed damaged equipment installed winch equipment returned back automatic mode made sure tracking sync rest verify winch working properly accordance manufacturer recommendations techdispatched yes
